atoll,year,month,sum,mean,std,median
Puka_Puka,2000,8,1549.0045600485587,26.254314577094217,0.04754222553168113,26.25162510573864
Puka_Puka,2000,9,1525.7013238003212,25.859344471191886,0.030845318009518514,25.857570111751556
Puka_Puka,2000,10,1556.2942112152066,26.377867986698416,0.015648285873155972,26.378756496523106
Puka_Puka,2000,11,1612.7124019382254,27.334108507427548,0.006191231056416109,27.334229990307772
Puka_Puka,2000,12,1645.140323728323,27.88373430048005,0.018254639479119872,27.882045954465866
Puka_Puka,2001,1,1648.88055017218,27.94712796902,0.07696163889156732,27.93242765377675
Puka_Puka,2001,2,1674.1586130080477,28.375569712000807,0.021433160499416123,28.37827691808343
Puka_Puka,2001,3,1678.9323705732822,28.456480857174274,0.023002819075749335,28.463711305388383
Puka_Puka,2001,4,1679.5473098190769,28.46690355625554,0.019239717762620328,28.463345083275012
Puka_Puka,2001,5,1657.4994829754746,28.093211575855502,0.030913865551383913,28.09743687457272
Puka_Puka,2001,6,1623.2205699895108,27.512213050669672,0.08381097367540655,27.50551730447582
Puka_Puka,2001,7,1594.3667667561344,27.023165538239567,0.026903912668885636,27.025609383625643
Puka_Puka,2001,8,1577.2865336106292,26.733670061197106,0.02313408231024225,26.74100248409169
Puka_Puka,2001,9,1584.856449328895,26.861973717438897,0.01492210087243733,26.860757115163974
Puka_Puka,2001,10,1620.4216390119068,27.46477354257469,0.03686263101793143,27.471772552600928
Puka_Puka,2001,11,1653.5241419348336,28.02583291414972,0.012201001072990277,28.028116260256088
Puka_Puka,2001,12,1657.2034708729811,28.088194421575952,0.03345368516178948,28.07352780231408
Puka_Puka,2002,1,1666.6480775895927,28.24827250151852,0.020311280535903958,28.242094609354222
Puka_Puka,2002,2,1663.3676168503505,28.192671472039837,0.015314698644033113,28.191189735595668
Puka_Puka,2002,3,1683.4785995712236,28.533535585952944,0.017304249024659837,28.53507230005094
Puka_Puka,2002,4,1701.7718126736581,28.84359004531624,0.013948239699108803,28.847825984869683
Puka_Puka,2002,5,1670.9033692771834,28.320396089443786,0.07095117127243666,28.31151985856039
Puka_Puka,2002,6,1636.163853507489,27.73159073741507,0.023400287425142895,27.731267078646592
Puka_Puka,2002,7,1599.8654348360642,27.116363302306173,0.021184260060627017,27.123861544898578
Puka_Puka,2002,8,1587.5645572223834,26.90787385122684,0.02652144737469635,26.917155320623092
Puka_Puka,2002,9,1588.6669381010743,26.926558272899562,0.06381896043845077,26.94038426609976
Puka_Puka,2002,10,1616.578399519303,27.399633890157677,0.07703129841995357,27.401614859168017
Puka_Puka,2002,11,1642.1969442857162,27.833846513317223,0.03237290212236689,27.83422780994858
Puka_Puka,2002,12,1676.7111811382429,28.418833578614286,0.01083587054640658,28.41913684244667
Puka_Puka,2003,1,1689.0784495893336,28.628448298124297,0.047725439970783684,28.620611322245427
Puka_Puka,2003,2,1677.5016977286764,28.43223216489282,0.03022627772224088,28.430960584964073
Puka_Puka,2003,3,1704.211375123156,28.884938561409424,0.02391844498717795,28.882826355418988
Puka_Puka,2003,4,1695.5336898293879,28.737859149650642,0.06641364182522244,28.741412302213057
Puka_Puka,2003,5,1666.9713993982546,28.253752532173806,0.04622891834250897,28.248738924839667
Puka_Puka,2003,6,1626.7673788400632,27.572328454916324,0.02527123960641136,27.573268395449436
Puka_Puka,2003,7,1585.201116655022,26.867815536525796,0.007164413450707186,26.870174255222082
Puka_Puka,2003,8,1583.6878868825734,26.842167574280904,0.03725149203062674,26.855368418352946
Puka_Puka,2003,9,1579.0451321990363,26.76347681693282,0.028805541529468688,26.77077111016427
Puka_Puka,2003,10,1597.084187154791,27.06922351109815,0.078218081871668,27.067934196442366
Puka_Puka,2003,11,1638.1033658199012,27.764463827455952,0.08829709952841243,27.768150877207518
Puka_Puka,2003,12,1666.7791327887348,28.25049377608025,0.07463337543217123,28.254284573984997
Puka_Puka,2004,1,1660.3401632740029,28.14135869955937,0.03099992077513534,28.142272924738272
Puka_Puka,2004,2,1670.7734650618263,28.3181943230818,0.0198956213451169,28.324389949973142
Puka_Puka,2004,3,1681.4457529373465,28.49908055826011,0.03313204152373268,28.50096132606268
Puka_Puka,2004,4,1681.0847625684528,28.492962077431404,0.05246117501446872,28.504518912306853
Puka_Puka,2004,5,1645.2817377815288,27.88613114883947,0.038983564354151956,27.89041674562863
Puka_Puka,2004,6,1604.3489875351743,27.192355720935158,0.021008595303493055,27.18993847763964
Puka_Puka,2004,7,1576.2013651712664,26.715277375784176,0.05516492065722328,26.706159065876687
Puka_Puka,2004,8,1576.2663957551122,26.7163795890697,0.05345694118680572,26.732684010373696
Puka_Puka,2004,9,1591.142285682793,26.96851331665751,0.04367701397705501,26.94938286659973
Puka_Puka,2004,10,1616.999397997345,27.406769457582122,0.05653901857544507,27.406846603644745
Puka_Puka,2004,11,1657.9670962968044,28.101137225369566,0.10061018560338494,28.105598395956413
Puka_Puka,2004,12,1675.0817020035215,28.39121528819528,0.032298000857116996,28.38612453479852
Puka_Puka,2005,1,1673.6122619323432,28.366309524277003,0.019398406249793183,28.364935969667776
Puka_Puka,2005,2,1661.9129826160415,28.168016654509177,0.03812910995232456,28.169059456459113
